Municipio,Departamento,Cultivo,Topografia,"pH agua:suelo 2,5:1,0",Fósforo (P) Bray II mg/kg,Potasio (K) intercambiable cmol(+)/kg
LA VEGA,CUNDINAMARCA,CAFÉ,Pendiente,5.2,"12,349,678,491,789,900","87,327,936"
LA VEGA,CUNDINAMARCA,CAFÉ,Pendiente moderada,4.96,"5,653,353,365,648,230","28,150,880,399,999,900"
LA VEGA,CUNDINAMARCA,CAFÉ,Pendiente,4.86,"14,528,088,439,458,600","2,481,070,874,200,420"
LA VEGA,CUNDINAMARCA,CAFÉ,Pendiente,5.43,"6,280,995,243,180,270","23,930,780,399,999,900"
LA VEGA,CUNDINAMARCA,CAFÉ,Ondulado,4.69,"32,759,471,962,089,500","1,888"
